                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2842,                 7.7289,                 1.8512,                0.00069,                0.10121,                0.00041,                0.00016,                 2.2947,                 5.1639,                  1.229,                0.00018,                0.00018,                0.00018
                      1,                 2.4011,                 4.2757,                 1.2311,                0.00247,                0.45344,                0.00374,                0.00112,                 2.0711,                 4.6643,                 1.0629,             0.00037749,             0.00037749,             0.00037749
                      2,                 2.3154,                 3.4934,                 1.1566,                0.00294,                0.53846,                0.00533,                0.00172,                 1.9514,                 4.3766,                 1.0347,             0.00057234,             0.00057234,             0.00057234
                      3,                 2.1325,                 2.9621,                 1.0936,                0.00238,                0.43725,                0.00277,                0.00087,                 2.0105,                 4.2653,                 1.0653,             0.00076456,             0.00076456,             0.00076456
                      4,                 2.2682,                 2.8048,                 1.1226,                0.00298,                0.54656,                0.00427,                0.00188,                 1.9409,                  4.141,                 1.0639,             0.00095413,             0.00095413,             0.00095413
                      5,                 2.1575,                 2.6508,                 1.0645,                0.00278,                0.51012,                0.00335,                0.00164,                 2.0252,                 4.0189,                 1.0873,              0.0011411,              0.0011411,              0.0011411
                      6,                 2.1191,                  2.485,                 1.0922,                0.00454,                0.37247,                0.14024,                0.07794,                 1.9656,                 3.6522,                 1.0807,              0.0013254,              0.0013254,              0.0013254
                      7,                   2.12,                 2.3008,                 1.1066,                0.62035,                0.13894,                0.28514,                0.10805,                  2.038,                 3.2967,                 1.0847,               0.001507,               0.001507,               0.001507
                      8,                 2.0446,                 2.1105,                 1.0609,                0.94064,                0.38494,                0.65832,                  0.269,                 1.9632,                 2.5616,                 1.0811,               0.001686,               0.001686,               0.001686
                      9,                 2.1886,                 2.0404,                  1.109,                0.69463,                0.50652,                0.57064,                0.25358,                 2.0104,                 2.0804,                   1.11,              0.0018624,              0.0018624,              0.0018624
                     10,                 2.0075,                 1.9464,                 1.0892,                0.62869,                0.51822,                0.52007,                0.23385,                 1.8967,                 2.0281,                 1.0458,               0.001868,               0.001868,               0.001868
                     11,                 1.9761,                 1.8325,                 1.0594,                0.86854,                0.54251,                0.66915,                0.28359,                 1.9631,                 1.9789,                 1.0947,               0.001868,               0.001868,               0.001868
                     12,                 2.0615,                 1.9048,                 1.0576,                0.80138,                0.57895,                0.67117,                0.28673,                 1.8526,                 2.0451,                 1.0519,              0.0018548,              0.0018548,              0.0018548
                     13,                  2.019,                 1.8158,                 1.0441,                0.79966,                0.59514,                0.68756,                0.29437,                 1.9604,                 1.5798,                 1.0782,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.9268,                 1.5963,                 1.0444,                0.81458,                0.64031,                0.73288,                0.32494,                 1.8395,                 1.6652,                 1.0372,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.9252,                 1.5548,                 1.0338,                0.70139,                0.61134,                0.64608,                0.26026,                 2.0775,                 1.6793,                 1.0912,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.9785,                 1.5808,                 1.0611,                0.77039,                0.62488,                0.69963,                0.31365,                 1.8337,                 1.4267,                 1.0265,               0.001802,               0.001802,               0.001802
                     17,                 2.0678,                 1.5094,                 1.0469,                0.75597,                0.60203,                0.72295,                0.34269,                 1.8112,                 1.4191,                  1.014,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.9319,                 1.4259,                 1.0266,                0.85018,                0.68421,                0.76953,                0.34969,                 1.8115,                 1.3077,                 1.0259,              0.0017756,              0.0017756,              0.0017756
                     19,                 2.0619,                 1.4391,                 1.0408,                0.78137,                  0.709,                0.76152,                0.32845,                 1.9391,                 1.3157,                 1.0463,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.9325,                 1.3689,                 1.0125,                0.86007,                0.69679,                0.78903,                0.36169,                 1.7414,                 1.1677,                 1.0166,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.8539,                 1.3057,                  1.023,                0.90236,                0.75709,                0.85643,                0.40849,                 1.6408,                 1.0881,                0.98745,               0.001736,               0.001736,               0.001736
                     22,                 1.8327,                 1.2717,                 1.0232,                0.90774,                  0.717,                0.83192,                0.41022,                 1.6431,                 1.1075,                0.98878,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.8397,                 1.3019,                  1.011,                0.84307,                0.71777,                 0.7862,                0.34281,                 1.7058,                 1.1515,                 0.9816,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.8191,                 1.2447,                 1.0244,                0.90022,                0.78543,                 0.8586,                0.39945,                 1.6492,                 1.0286,                0.98121,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.7139,                 1.1716,                0.99117,                0.82303,                0.78138,                0.83591,                0.39465,                 1.6743,                  1.065,                0.97651,              0.0016832,              0.0016832,              0.0016832
                     26,                  1.737,                 1.1467,                0.98708,                 0.9004,                0.76923,                0.86554,                0.42786,                 1.5789,                 1.1166,                0.95868,                0.00167,                0.00167,                0.00167
                     27,                 1.6562,                 1.1016,                  1.001,                0.91554,                0.75304,                0.87073,                0.43932,                 1.6025,                 1.0197,                0.96662,              0.0016568,              0.0016568,              0.0016568
                     28,                  1.738,                 1.1315,                0.98002,                0.92772,                0.78947,                0.87533,                0.44927,                 1.5758,                0.98808,                0.96468,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.7616,                 1.1324,                 0.9521,                0.86269,                0.78854,                0.85234,                0.42814,                 1.5536,                0.97965,                0.96593,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.7684,                 1.0713,                0.99933,                0.90141,                 0.7403,                0.83468,                0.39974,                 1.6658,                 1.0099,                0.98027,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.8206,                   1.11,                0.98169,                0.87075,                0.81828,                0.85946,                0.43759,                 1.5266,                0.93457,                0.96135,               0.001604,               0.001604,               0.001604
                     32,                  1.692,                0.97936,                0.96634,                0.84988,                0.78543,                0.85025,                0.44479,                 1.5599,                0.91029,                0.97224,              0.0015908,              0.0015908,              0.0015908
