                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.8157,                 2.1888,                 1.3723,                0.55461,                0.37652,                0.42125,                0.13522,                 2.5831,                 1.8921,                 1.3312,              0.0011024,              0.0011024,              0.0011024
                     36,                 2.7018,                 2.0465,                 1.2922,                0.54704,                0.36032,                 0.3698,                 0.1068,                 2.7033,                 1.9152,                 1.3564,               0.001076,               0.001076,               0.001076
                     37,                 2.7675,                 2.0484,                 1.3392,                0.52244,                0.46949,                0.43997,                0.13187,                 2.6678,                 1.7484,                 1.3674,              0.0010496,              0.0010496,              0.0010496
                     38,                 2.7265,                 1.9372,                 1.3493,                 0.5799,                 0.4251,                0.42843,                0.14599,                 2.5847,                 1.7594,                 1.3381,              0.0010232,              0.0010232,              0.0010232
                     39,                 2.6825,                 1.9705,                 1.3387,                0.62139,                0.40486,                0.46382,                0.15855,                 2.5196,                 1.7819,                 1.2897,              0.0009968,              0.0009968,              0.0009968
                     40,                 2.6932,                 1.9921,                 1.3416,                 0.6224,                0.39676,                0.46175,                0.15939,                 2.4905,                 1.7047,                 1.2899,              0.0009704,              0.0009704,              0.0009704
                     41,                 2.6183,                 1.8836,                 1.3215,                 0.5937,                 0.4332,                0.47109,                0.15921,                 2.4498,                 1.7031,                 1.2837,               0.000944,               0.000944,               0.000944
                     42,                 2.7175,                 1.9773,                 1.3135,                0.54203,                0.40081,                0.42384,                 0.1379,                 2.4602,                 1.6953,                  1.288,              0.0009176,              0.0009176,              0.0009176
                     43,                 2.6326,                 1.8255,                 1.3007,                0.68847,                0.43725,                0.53714,                0.20714,                 2.3774,                 1.5691,                 1.2436,              0.0008912,              0.0008912,              0.0008912
                     44,                 2.6397,                  1.805,                 1.2464,                0.75209,                0.43725,                0.56299,                0.20891,                 2.4006,                 1.5498,                 1.2384,              0.0008648,              0.0008648,              0.0008648
                     45,                 2.6367,                 1.8315,                 1.2827,                0.55667,                0.42703,                0.46618,                0.15382,                 2.5252,                 1.6062,                 1.2693,              0.0008384,              0.0008384,              0.0008384
                     46,                 2.6515,                 1.8816,                  1.335,                0.62681,                0.48583,                 0.4986,                0.17352,                 2.4461,                 1.5814,                 1.2523,               0.000812,               0.000812,               0.000812
                     47,                 2.5572,                 1.7931,                 1.2793,                0.57387,                0.45344,                0.46537,                0.15847,                 2.4859,                 1.6313,                 1.2653,              0.0007856,              0.0007856,              0.0007856
                     48,                 2.5998,                 1.7429,                 1.2579,                0.60881,                0.49777,                0.53206,                0.19869,                 2.3281,                 1.5997,                 1.2492,              0.0007592,              0.0007592,              0.0007592
                     49,                 2.5211,                 1.7206,                 1.2349,                0.69102,                0.46179,                0.56245,                0.21332,                 2.3139,                 1.5094,                  1.243,              0.0007328,              0.0007328,              0.0007328
                     50,                 2.5219,                 1.7667,                 1.2725,                0.66059,                0.46154,                0.51544,                0.19388,                 2.3714,                 1.5179,                  1.253,              0.0007064,              0.0007064,              0.0007064
                     51,                 2.5733,                 1.7457,                 1.3381,                0.67823,                0.46964,                0.52487,                0.18911,                  2.436,                 1.5083,                 1.2778,                0.00068,                0.00068,                0.00068
                     52,                  2.569,                 1.7544,                  1.304,                0.71353,                0.49393,                0.59376,                0.21661,                 2.3362,                 1.4457,                 1.2286,              0.0006536,              0.0006536,              0.0006536
                     53,                 2.5807,                 1.6891,                 1.2621,                0.76915,                0.50202,                0.60897,                0.23624,                 2.2388,                 1.4319,                 1.2066,              0.0006272,              0.0006272,              0.0006272
                     54,                 2.5497,                 1.7175,                 1.2648,                0.69074,                0.51012,                0.57705,                0.22405,                 2.2845,                 1.4754,                 1.2316,              0.0006008,              0.0006008,              0.0006008
                     55,                 2.5571,                  1.679,                  1.293,                0.73432,                0.46997,                0.58716,                0.21363,                 2.3371,                 1.4595,                 1.2354,              0.0005744,              0.0005744,              0.0005744
                     56,                 2.5307,                 1.6772,                 1.2662,                0.67372,                0.51012,                0.59967,                0.22176,                 2.2992,                 1.4365,                 1.2218,               0.000548,               0.000548,               0.000548
                     57,                 2.5159,                 1.7348,                 1.2239,                0.68247,                 0.5587,                0.60549,                0.24215,                 2.2221,                 1.4359,                 1.2037,              0.0005216,              0.0005216,              0.0005216
                     58,                 2.4812,                 1.6945,                 1.2758,                0.67972,                0.54251,                 0.6092,                0.24169,                 2.2279,                 1.4143,                 1.2015,              0.0004952,              0.0004952,              0.0004952
                     59,                 2.4786,                  1.645,                 1.2752,                 0.7869,                0.50829,                0.63138,                0.25853,                 2.1703,                  1.357,                 1.1856,              0.0004688,              0.0004688,              0.0004688
                     60,                 2.4406,                  1.631,                 1.2471,                 0.7467,                0.50607,                0.61949,                0.24441,                 2.2107,                  1.392,                 1.1977,              0.0004424,              0.0004424,              0.0004424
                     61,                 2.4008,                 1.5617,                 1.2421,                0.66726,                0.52632,                0.62671,                 0.2509,                 2.1677,                 1.3603,                    1.2,               0.000416,               0.000416,               0.000416
                     62,                 2.4114,                 1.6195,                 1.2428,                0.69352,                0.51822,                 0.6016,                0.25635,                 2.1462,                 1.3309,                 1.1909,              0.0003896,              0.0003896,              0.0003896
                     63,                 2.2763,                 1.4949,                 1.2345,                0.75844,                0.53036,                 0.6106,                0.25912,                  2.174,                 1.3186,                 1.1902,              0.0003632,              0.0003632,              0.0003632
